distance_mm,mean_range_cm_sensor_0,mean_absolute_error_cm_sensor_0,std_dev_cm_sensor_0,mean_range_cm_sensor_1,mean_absolute_error_cm_sensor_1,std_dev_cm_sensor_1,sensor_0_type,sensor_1_type,material,medium,frequency_hz
200,15.806898429287484,4.193101570712516,0.02124917156042625,14.805978432473449,5.1940215675265495,0.031070705593821964,cone,no_cone,plastic,air,27
210,15.746005580495634,5.253994419504369,0.009151326733695914,15.870103417240264,5.129896582759735,0.019732774613083013,cone,no_cone,plastic,air,27
220,16.214633124380732,5.785366875619268,0.017890274117288375,16.70678984020634,5.293210159793662,0.452853590938464,cone,no_cone,plastic,air,27
230,17.176700810433996,5.823299189566006,0.021083209485219686,18.33338633445197,4.666613665548031,0.10701740408695526,cone,no_cone,plastic,air,27
240,18.65984095562561,5.34015904437439,0.01890772282158932,19.290308808055585,4.709691191944412,0.0385749516701771,cone,no_cone,plastic,air,27
250,21.602268476524095,3.3977315234759047,0.09215855353036824,19.0537269339204,5.946273066079594,0.015778278966467694,cone,no_cone,plastic,air,27
260,24.948109372390228,1.0518906276097757,0.27228025074851964,20.302014019678776,5.697985980321226,0.01819758252162763,cone,no_cone,plastic,air,27
270,26.195507096401457,0.8044929035985449,0.33513503171888,21.138340173984,5.861659826016,0.016091915465308866,cone,no_cone,plastic,air,27
280,22.569809879890006,5.430190120109993,0.02196275757065213,22.0438802182354,5.9561197817646,0.02589788648818337,cone,no_cone,plastic,air,27
290,23.25215168140256,5.74784831859744,0.023540592874628997,22.94261278469821,6.057387215301791,0.013597879261402166,cone,no_cone,plastic,air,27
300,23.87438212015669,6.12561787984331,0.016574396288873753,28.511824948765174,1.4881750512348255,0.18778566704183303,cone,no_cone,plastic,air,27
310,26.640913169368154,4.359086830631843,0.14396198724980733,24.75811934659929,6.241880653400715,0.01750800934551026,cone,no_cone,plastic,air,27
320,25.79301188328271,6.206988116717293,0.014879366357982284,26.30238733743212,5.697612662567882,0.3064830863891071,cone,no_cone,plastic,air,27
330,26.58967712197563,6.410322878024369,0.06758437092524462,26.514880857113088,6.48511914288692,0.014004712222726985,cone,no_cone,plastic,air,27
340,28.57063514968351,5.42936485031649,0.2934396579392311,27.58990602002229,6.410093979977709,0.01722197462827465,cone,no_cone,plastic,air,27
350,28.6065900982496,6.393409901750403,0.020649089443505197,28.81326792316524,6.186732076834755,0.052875841845963494,cone,no_cone,plastic,air,27
360,29.83748657812554,6.16251342187446,0.030628811846557007,33.950459569679914,2.049540430320088,0.27619390215420303,cone,no_cone,plastic,air,27
370,30.859632435580885,6.1403675644191145,0.03227408739148042,35.66615701029086,1.333842989709135,0.21378257452083815,cone,no_cone,plastic,air,27
380,31.793270558980474,6.206729441019521,0.03079186102773036,37.51299499298493,0.4870050070150641,0.06445034282297424,cone,no_cone,plastic,air,27
390,38.52418556370752,0.47581443629248577,0.07087215058215611,32.80799907909035,6.192000920909646,0.0406429232830824,cone,no_cone,plastic,air,27
400,39.61738056893378,0.3826194310662078,0.06097295548049204,33.91679147722431,6.083208522775703,0.03567288462728176,cone,no_cone,plastic,air,27
410,41.09437989008942,0.09790541169896279,0.04859975887964251,35.1284197477757,5.871580252224299,0.06280381565294636,cone,no_cone,plastic,air,27
420,42.75594894843963,0.7559489484396249,0.07213245098620655,41.77064265250496,0.22935734749504416,0.025263460711306834,cone,no_cone,plastic,air,27
430,43.51806046809151,0.518060468091515,0.052909775091674056,42.7493163707317,0.2506836292683051,0.027164948788200687,cone,no_cone,plastic,air,27
440,43.783801249347405,0.2161987506525953,0.04096422650591188,44.56134202075099,0.5613420207509927,0.104564129733424,cone,no_cone,plastic,air,27
450,45.19094711882605,0.19094711882605908,0.034648478607306674,44.82798737202054,0.1720126279794707,0.013593144683304227,cone,no_cone,plastic,air,27
460,46.50880159592246,0.5088015959224657,0.06976734446964429,45.66907859903836,0.33092140096164546,0.01775226142732884,cone,no_cone,plastic,air,27
470,47.76527968260188,0.7652796826018853,0.03201940461290839,46.72003328249425,0.27996671750575897,0.022142555963769864,cone,no_cone,plastic,air,27
480,47.916398530138345,0.1051090044466374,0.11295412628007367,47.87237028269448,0.12762971730552136,0.03041781251994864,cone,no_cone,plastic,air,27
490,48.80278111461891,0.19721888538108545,0.018648870759074645,49.907878240045086,0.9078782400450844,0.034637098134581025,cone,no_cone,plastic,air,27
500,49.41780817687748,0.9912271492094846,1.099648302072438,48.357068470876335,1.6429315291236646,0.3897041259898327,cone,no_cone,plastic,air,27
510,50.596875,1.526861810064935,1.6326112633705159,50.25387235385174,0.7461276461482549,0.12316493970272281,cone,no_cone,plastic,air,27
520,47.93035322615578,4.069646773844218,2.6540260987361646,48.13415458463951,3.8658454153604964,1.1192068382501528,cone,no_cone,plastic,air,27
530,48.05264147691511,4.9473585230848816,1.89050341145963,50.611835752758815,2.6217625131371487,2.1236836781695283,cone,no_cone,plastic,air,27
540,48.34489921438981,5.668318367631062,0.8828515460005443,55.26541193181819,1.5125594271799687,0.9968203558264999,cone,no_cone,plastic,air,27
550,56.65582299219185,1.6558229921918626,0.07860798486658721,48.846771828833724,6.153228171166277,0.01769999591349521,cone,no_cone,plastic,air,27
